신문사,제목,본문_요약,링크,카테고리,예측점수,최종선택여부
매일경제,'HBM 패권' 새 접착기술이 좌우…장비전쟁 시작됐다,하이브리드 본딩 경쟁 치열적층 경쟁 핵심은 접착기술범프 없애면 높게 쌓을수 있어한화세미텍 하이브리드 본더SK하이닉스서 시제품 테스트한미반도체도 2세대 연내 개발인공지능(AI) 확산과 함께 반도체를 높게 쌓아 올리는 적층 기술 수요가 급증하면서 신기술 개발 경쟁이 치열해지고 있다. 현재는 반도체 사이에 접착제에 해당하는 '범프'를 넣고 쌓아 올려 고열로 압착시키는 TC(열압착) 본딩이 대세지만 관련 기업들은 반도체를 직접 붙이는 '하이브리드 본딩' 기술 개발에 나서고 있다. 범프가 없다 보니 동일한 공간에 더 많이 쌓아 올릴 수 있고 효율도 높아질 것이란 기대감 때문이다.9일 업계에 따르면 한화세미텍은 최근 하이브리드 본더를 SK하이닉스에 시제품으로 공급했다. 해당 장비는 현재 고객사 테스트를 앞두고 있으며 ...,https://n.news.naver.com/article/newspaper/009/0005663783?date=20260410,경영,0.6632717636364426,
동아일보,이란전쟁에 전기료도 들썩… 전력도매가 47% 치솟아,"본격 반영 전인데 공급가격 급등내달이후 ‘전기료 폭탄’ 우려 커져“전쟁 전보다 2배이상으로 뛸수도”4월 들어 전력 도매가격이 지난해 말 대비 40% 넘게 올랐다. 아직 이란 전쟁의 영향이 본격적으로 반영되지 않은 상태인데도 전력 가격이 오르기 시작한 것이다. 영향이 본격화되는 5월 이후에 ‘전기료 폭탄’이 터질 수 있다는 우려가 나온다.9일 전력거래소에 따르면 이날 육지 기준 전력 도매가격(SMP)은 kWh(킬로와트시)당 132.58원으로 지난해 12월(90.43원) 대비 46.6% 올랐다. 이달 들어 전력 가격은 120원 선을 오르내리고 있다. SMP는 발전소가 한국전력에 공급하는 전기료 기준으로, 이 가격이 오르면 한전이 기업 등에 공급하는 전기요금도 오를 가능성이 높다.전력 가격이 오르는 이유로는 올 ...",https://n.news.naver.com/article/newspaper/020/0003711307?date=20260410,업계,0.6443593015695266,
매일경제,"삼성, 우주 반도체 본격 개발 … 우주서 성장동력 찾는 韓기업들","우주 데이터센터용 칩 수요 급증 … 미래 먹거리로 부상위성 발사 비용이 낮아질수록美가 독점한 비싼 전용칩보다가성비 좋은 반도체로 대체중韓, 우주방사능 내성검증 나서데이터센터 전력 태양광 주목한화큐셀, 고성능 솔루션 개발우주 인공지능(AI) 데이터센터 건설 계획 발표가 잇따르면서 국내 기업들이 신성장동력으로 우주 관련 기술 개발에 나서고 있다. 특히 반도체와 태양광 발전 분야에서 집중적인 연구와 투자가 이뤄지고 있다.9일 삼성전자에 따르면 삼성전자 파운드리는 우주에서 사용되는 우주 반도체와 이를 위탁생산하는 파운드리를 미래 먹거리로 보고 이에 대한 기술 개발을 진행 중이다. 삼성전자는 지난해 11월 과학기술정보통신부의 우주항공반도체전략연구단 사업의 일환으로 D램과 낸드 메모리를 우주로 보내 검증 과정을 거쳤다...",https://n.news.naver.com/article/newspaper/009/0005663768?date=20260410,경영,0.641699754316711,
한국경제,1880원 우유도 등장…불붙은 '초저가 전쟁',"고물가엔 가격이 최고 '무기'롯데마트, PB 대규모 할인 행사990원 소주·2000원대 햄버거도고환율과 중동 전쟁 장기화 여파로 물가 불안이 커지자 식품·유통업계가 초저가 마케팅에 나섰다. 고물가 탓에 소비 심리가 얼어붙자 1000원 안팎 상품 등을 ‘미끼 상품’으로 내세워 소비자 지갑을 열어보려는 전략이다.9일 유통업계에 따르면 롯데마트는 이날부터 29일까지 3주간 대규모 할인 행사인 ‘PB 페스타’를 연다고 밝혔다. 자체브랜드 ‘오늘좋은’과 ‘요리하다’를 앞세워 우유 과자 티슈 등 생활밀착형 상품을 최저가 수준으로 판매한다. 대표 상품은 ‘오늘좋은 데일리우유(1L)’로 가격은 1880원이다. 최근 1L짜리 우유 가격이 3500원가량임을 감안하면 절반 수준이다. 초코우유·딸기우유·바나나우유 200mL는 개...",https://n.news.naver.com/article/newspaper/015/0005273072?date=20260410,업계,0.5803175019387757,
동아일보,"메타, 초지능 AI ‘뮤즈’ 대반격… 챗GPT-제미나이 성능 맞먹어",1500억 연봉 내걸고 파격 투자초지능팀 첫 AI 모델 선보여AI끼리 협업 ‘심사숙고’ 탑재저커버그 “기술 한계 넓히겠다”인간을 뛰어넘는 ‘초지능’을 개발하겠다며 최대 연봉 1억 달러(약 1480억 원)라는 파격 조건을 내걸고 실리콘밸리의 AI 인재를 끌어모아 온 메타가 드디어 첫 성과를 발표했다.메타는 8일(현지 시간) 스케일AI 창업자이자 메타 최고AI책임자(CAIO)인 알렉산더 왕이 이끄는 메타의 메타초지능연구소(MSL)가 첫 AI 모델 ‘뮤즈 스파크’를 공개했다고 밝혔다. 업계에서는 개발했던 AI 모델 ‘라마’가 혹평을 받는 등 빅테크의 ‘AI 레이스’에서 한참 뒤처졌던 메타가 이번 모델로 다시 경쟁 선상에 복귀했다고 평가한다. 이날 메타의 주가는 전날 대비 6.5% 상승한 612.42달러로 마감했다...,https://n.news.naver.com/article/newspaper/020/0003711229?date=20260410,경영,0.5412233482911154,
매일경제,"동성케미컬, 러닝화 신소재 '플로탄' K2에 공급","9일 동성케미컬이 지속가능성과 고기능성을 동시에 갖춘 풋웨어 소재를 개발해 아웃도어 브랜드 K2에 공급한다고 밝혔다. 초임계 유체(SCF) 발포 기술 기반의 열가소성 폴리우레탄(TPU) 수지 플로탄™이 K2의 슬로 러닝화 '플로잉'과 '플로잉 레이스' 미드솔(중창)에 적용된다.SCF 발포 공정으로 형성된 공기층이 스프링처럼 작용해 착지 시 충격을 효과적으로 흡수·분산하고 이를 에너지로 전환해 다음 스텝에 추진력을 더해준다. 동성케미컬 관계자는 ""이 기술을 활용한 플로탄은 화학 발포제가 사용되지 않아 환경 부담이 작고, 셀의 균일성이 높아 가벼우면서도 쉽게 꺼지지 않는 탄탄한 복원력을 지닌다""고 설명했다.[서정원 기자]...",https://n.news.naver.com/article/newspaper/009/0005663672?date=20260410,업계,0.5156043132121567,
동아일보,삼성 TV-모바일 기술 올라탄 하만… QLED 화질-주행 안전 업그레이드,완성차 대상 국내서 첫 전시회5G 기술로 주행중 끊김 없애삼성전자의 자회사 하만이 완성차 업계를 대상으로 단독 전시회를 열고 차세대 전장 기술을 선보였다.하만은 8일부터 9일까지 이틀간 서울 강남구 프로젝트 스페이스 라인에서 현대자동차·기아 등 국내 주요 완성차 업계를 초청해 ‘하만 익스플로어 코리아 2026’을 개최했다. 하만이 국내에서 완성차 고객사를 대상으로 단독 제품 전시회를 연 것은 이번이 처음이다.이번 전시에서 가장 눈길을 끈 것은 모회사인 삼성전자의 우수 기술을 도입해 제품 경쟁력을 높인 융합 제품군이다. 삼성전자의 프리미엄 TV 기술인 ‘네오 QLED’의 소프트웨어 기술을 적용한 ‘하만 레디 디스플레이’는 일반 액정표시장치(LCD) 대비 5%의 원가 상승만으로 퀀텀닷발광다이오드(QLED)급 화...,https://n.news.naver.com/article/newspaper/020/0003711231?date=20260410,기타,0.49531810692008965,
조선일보,"‘HBM4 탑재’ 엔비디아 루빈, 출시 지연 전망","하이닉스 HBM3E 주도권 길어질 듯엔비디아의 차세대 인공지능(AI) 가속기 ‘루빈(Rubin)’의 출시가 지연될 것이라는 전망이 잇따라 나오고 있다. 6세대 고대역폭 메모리(HBM4)의 기술적 문제 탓이다. 반도체 업계에서는 루빈 출시 지연이 HBM 경쟁을 벌이는 삼성전자와 SK하이닉스에도 적지 않은 영향을 끼칠 것이라는 전망이다.시장조사업체 트렌드포스는 올해 출시 예정인 루빈의 출하 시점이 지연될 수 있다고 8일 밝혔다. HBM4 검증 시간이 소요되는 데다, 네트워크 칩 변경과 전력 효율 관리 등 다양한 기술적 과제가 여전히 남아 있다는 의미다. 이런 점에서 트렌드포스는 올해 엔비디아의 고급 그래픽처리장치(GPU)에서 루빈이 차지하는 비율을 29%에서 22%로 하향하고, 현재 활발히 사용되는 AI 가속기...",https://n.news.naver.com/article/newspaper/023/0003969948?date=20260410,경영,0.4888950773821413,
조선일보,3차 석유 최고價 동결... 가격 산정 기준 ‘유명무실’,"휘발유 1934원, 경유 1923원 유지“필요한 경우엔 기준기간 달리 반영”최고가 시행 이후 소비 오히려 늘어9일 정부는 민생 안정을 위해 3차 석유 최고가를 2차 수준에서 동결한다고 발표했다. 10일 0시부터 2주간 적용될 3차 석유 최고가격은 정유사 공급 가격 기준 휘발유는 리터(L)당 1934원, 경유 1923원, 등유 1530원이다. 이에 따라 휘발유 소비자 가격(정유사 공급가+주유소 마진)은 L당 2000원 안팎을 유지할 전망이다. 산업통상부는 “화물차, 택배, 농어업 등 생계형 수요 비중이 높은 경유는 물가 전반에 미치는 영향이 커 동결이 불가피했다”고 말했다.정부의 이 같은 설명에도 “최고 가격제가 주먹구구식으로 운영되고 있다”는 지적이 나온다. 가격 책정 기준이 명확하지 않다는 것이다. 당초 ...",https://n.news.naver.com/article/newspaper/023/0003969903?date=20260410,기타,0.47440495135361693,
동아일보,[HBR 인사이트]AI가 매긴 임금은 공정할까,"생성형 인공지능(AI)이 노동시장 형성에도 영향을 미치기 시작했다. 파이버, 프리랜서닷컴 등 미국의 프리랜서 구인구직 플랫폼에서 수백만 명이 일자리 경쟁을 벌이는데, 그 임금을 책정하는 과정에서 AI의 권고를 활용하는 기업이 늘고 있다. AI가 구직자의 인구통계학적 정보와 커리어, 경험 등을 두루 검토해 적정하다고 판단하는 임금을 제안하는 식이다.그렇다면 AI는 오랫동안 노동시장에 내재한 편향과 불평등의 구애를 받지 않고 공정하게 임금을 매길 수 있을까. 필자들은 프리랜서 6만 명의 프로필을 AI 모델에 입력해 시급을 추천하도록 요청했다. 이후 성별, 지역, 연령 등 업무 성과와 상관없는 지원자의 속성을 고려하거나 혹은 고려하지 않도록 지시했을 때의 결과를 비교해 잠재적 편향의 가능성을 테스트했다.분석 결과...",https://n.news.naver.com/article/newspaper/020/0003711205?date=20260410,경영,0.45799517294667574,
중앙일보,"메타의 초지능팀, 첫 AI모델 ‘뮤즈 스파크’ 공개","페이스북·인스타그램 모회사 메타가 차세대 인공지능(AI) 모델을 공개했다. 공격적인 인재 영입과 투자로 조직한 메타초지능연구소(MSL)가 처음 선보이는 결과물이다. AI 모델 경쟁에서 뒤처졌던 메타가 설욕에 나섰다는 평가가 나온다.메타는 8일(현지시간) 자사 블로그를 통해 MSL이 개발한 첫 AI 모델인 ‘뮤즈 스파크(Muse Spark)’를 출시했다고 밝혔다. 메타는 “이 모델은 AI 전략을 전면 개편한 결과물”이라며 “(메타는) 연구와 모델 학습, 인프라에 이르기까지 전략적인 투자를 진행하고 있다”고 설명했다. 지난해까지 주력 모델 라마 시리즈를 개방형(오픈소스)으로 공개했지만, 이번 뮤즈 스파크는 폐쇄형으로 출시하면서 전략을 바꿨다.모델 성능은 주요 경쟁사 모델과 어깨를 나란히 한 것으로 평가된다. 메...",https://n.news.naver.com/article/newspaper/025/0003515241?date=20260410,업계,0.4286111653318965,
중앙일보,[박철완의 마켓 나우] 석유라는 원료 없는 에너지 전환은 없다,"석유 고갈 공포는 오래된 이야기다. 1956년 미국석유협회(API) 연례 미팅에서 지구물리학자 M. 킹 허버트는 원유 생산이 정점을 찍은 뒤 감소한다는 ‘허버트 피크’를 제시했다. 미국 생산이 1970년 전후 실제로 정점을 기록하며 오일 고갈론의 근거로 자리 잡았다.이 발표의 맥락은 종종 간과된다. 제목은 ‘핵에너지와 화석연료’였다. 핵심은 고갈 자체가 아니라, 화석연료의 쇠퇴를 전제로 원자력의 필요성을 부각하는 데 있었다. 전망은 빗나갔다. 원자력은 기술적·사회적 제약에 가로막혔고, 석유는 셰일오일과 신규 유정 발견으로 오히려 공급을 확장했다.다음 공세는 재생에너지에서 나왔다. 이번에는 고갈이 아니라 탄소 배출이 명분이었다. 재생에너지는 화석연료와 원자력을 동시에 겨냥하며 빠르게 확산됐다.두 진영 모두 공...",https://n.news.naver.com/article/newspaper/025/0003515238?date=20260410,업계,0.4266755989988721,
매일경제,"무뇨스 ""세계화는 끝났다 … 현지서 부품 조달""","현대차 대표 블룸버그 인터뷰현지화로 공급망 리스크 대응중동 전쟁으로 호르무즈 해협 통행이 어려워지면서 현대자동차가 유럽 현지에서 자동차 부품을 생산하는 방안을 검토 중이다. 잇따른 공급망 충격으로 물류 비용이 급상승하자 이를 완화하기 위해 현지 생산 체제를 강화하는 것이다.호세 무뇨스 현대차 대표이사 사장(사진)은 8일(현지시간) 블룸버그와 인터뷰에서 ""유럽 내에서 더 많은 부품을 조달하는 방안을 고려하고 있다""며 ""세계화는 완전히 끝났다""고 밝혔다.현대차는 중동 전쟁 이후 기존 경로인 호르무즈 해협이 아니라 아프리카 희망봉으로 부품 운반 선박을 우회시키고 있다. 이 때문에 한국에서 유럽으로 수출하는 부품 운송 리드타임이 많이 늘어났다. 유럽 현지 조달을 늘리는 것은 단기 대응이 아니라 장기적으로 공급망 구...",https://n.news.naver.com/article/newspaper/009/0005663764?date=20260410,업계,0.42277164064420814,
조선일보,"KAIST, 노벨상 수상자와 AI로 ‘인공 단백질’ 설계","난치병 조기 발견해 치료제 개발KAIST(한국과학기술원)는 생명과학과 이규리 교수와 노벨 화학상 수상자인 미국 워싱턴대 데이비드 베이커(Baker) 교수가 인공지능(AI)을 이용해 원하는 물질만 족집게처럼 찾아내 결합하는 ‘인공 단백질’을 설계하는 데 성공했다고 9일 밝혔다. 이를 활용하면 암이나 난치병을 조기에 발견할 수 있고, 부작용이 적은 맞춤형 치료제 개발에 활용할 수 있다.베이커 교수는 2024년 노벨 화학상 수상자다. 베이커 교수는 이 교수와 공동 연구를 진행, 이번 인공 단백질을 AI로 설계하는 과정에 참여했다. 이번에 설계한 ‘인공 단백질’은 특정 자물쇠에만 맞는 ‘맞춤형 열쇠’에 비유할 수 있다. 족집게처럼 병의 원인이 되는 물질에만 달라붙고 다른 곳은 건드리지 않아 부작용 없이 병만 깔끔하...",https://n.news.naver.com/article/newspaper/023/0003969946?date=20260410,업계,0.3663271768380524,
한국경제,"[단독] 쿠팡, 로켓배송 이은 승부수…물류 자율주행 실험","유통가 도입 확산…물류산업 대변혁 예고삼다수·이마트24도 시험 운행물류 회전율 극대화·비용절감운송인력 고령화로 도입 빨라질듯쿠팡이 물류센터 간 화물 운송(미들마일)과 센터 자동화 공정을 중심으로 자율주행 테스트에 나섰다. 국내 고속도로 전 구간에서 조건부 자율주행이 허용되고 전문 기업의 기술 수준이 높아지자 국내 최대 e커머스 업체가 기술 실증에 들어간 것이다. 쿠팡이 자율주행을 선제적으로 도입하면 국내 유통업계에 자율주행 기술 도입이 확산할 것이라는 전망이 나온다.◇쿠팡, 자율주행 테스트 시작9일 모빌리티업계에 따르면 쿠팡은 라이드플럭스 등 국내 복수의 자율주행 기술 기업과 물류 시스템에 자율주행 기술을 도입하기 위한 실증 프로젝트를 추진 중이다. 일부 기업과는 계약을 마치고 지난해 하반기부터 상하차 도킹...",https://n.news.naver.com/article/newspaper/015/0005273183?date=20260410,경영,0.3204573122517965,
조선일보,“전쟁보다 더 위험”…조용히 다가오는 스태그플레이션,"[WEEKLY BIZ] 편집자 레터책 사면 공짜로 비닐에 담아 주던 동네 서점이 얼마 전부터 비닐 값 50원을 받기 시작했습니다. 학원 셔틀버스 비용은 4만원에서 5만원으로 곧 오른다고 합니다. 생활 곳곳 물가가 빠짐없이 들썩이기 시작했습니다. 벌이가 같다면 쓸 돈을 줄일 테고, 모두가 이렇게 행동한다면 경기는 가라앉게 됩니다. 가장 악성이라는 스태그플레이션(stagflation·경기침체 속 물가상승) 그림자가 엄습하고 있습니다.예로부터 서구 사회에선 인플레이션을 ‘용(龍)’에 비유하곤 했다죠. 인간의 힘으로 감당하기 힘든 파괴적인 괴물, 죽일래야 죽일 수 없는 공포의 대상과 같다는 의미가 녹아 있다고 합니다. 코로나 팬데믹 기간에 각국 정부가 푼 막대한 돈이 잠자던 용을 소환한 탓에, 중앙은행들은 다급히 ...",https://n.news.naver.com/article/newspaper/023/0003969865?date=20260410,경영,0.31350326180333965,
매일경제,"BMW, 수소탱크 설계기술 공개…2028년 'iX5 하이드로젠' 양산",BMW그룹이 효율성과 실용성을 극대화한 차세대 수소 저장 기술을 선보이며 수소 모빌리티 시장 선점에 나선다.9일 자동차 업계에 따르면 BMW는 평면형 수소 탱크 설계 기술인 'BMW 하이드로젠 플랫 스토리지'를 공개하고 해당 기술이 탑재된 BMW 최초의 수소전기차 'iX5 하이드로젠'을 2028년부터 양산할 계획이다.이번 기술의 핵심은 공간 효율을 최대로 끌어올린 탱크 설계다. 기존 수소차의 한계로 지적됐던 대형 원통형 탱크 대신 평면형 구조를 채택해 실내 공간을 넓게 확보했다. 고압 원형 탱크들은 병렬로 연결해 평면의 프레임으로 만든 것이다.특히 5분 이내의 짧은 충전 시간에도 1회 충전 시 최대 750㎞에 달하는 주행거리를 실현하도록 했다.아울러 해당 시스템은 6세대 e드라이브 고전압 배터리와 호환돼 순...,https://n.news.naver.com/article/newspaper/009/0005663817?date=20260410,업계,0.2986444186580741,
