링크,최종선택여부,Unnamed: 2,Unnamed: 3,Unnamed: 4,미선택0,선택1,크롤링된_제목,크롤링된_본문
,0.0,,,,,,"한국서부발전, 그린에너지로 온실가스 배출 30% 감축","단체부문 대통령 표창한국서부발전이 '2025 탄소중립 녹색경영 정부포상'을 수상하며 탄소중립 미래를 선도하는 혁신 기업으로 인정받았다.서부발전은 2001년 4월 설립된 발전공기업으로 '탄소중립 미래를 선도하는 에너지 전환 혁신 기업'이라는 비전 아래 친환경 에너지를 안전하고 안정적으로 생산해 국가 발전에 기여하고 있다.서부발전은 최고경영자(CEO) 환경경영 방침과 '2040 WP 환경경영 추진전략'을 수립하고 탄소중립 이행 선도와 국민 환경복지 실현을 목표로 하고 있다. 온실가스, 대기, 수질 등 5대 환경 분야별 핵심 지표를 마련하고 로드맵을 구축함으로써 지속가능한 녹색성장과 국가 탄소중립 목표 달성의 견인차 역할을 수행하고 있다.서부발전은 '2047년 넷제로(Net-Zero) 조기 달성'을 목표로 경영전략을 추진하고 있다. 석탄 사용량 축소 등으로 온실가스 배출량을 2018년 대비 2024년 1100만t(29%) 줄이며 국가 온실가스 감축목표(NDC)의 전환 목표를 10%포인트 초과 달성했다.연료 전환 포트폴리오를 확정한 뒤 올해부터 석탄화력 발전소를 순차적으로 폐지하고 복합·수소 발전으로 전환하고 있다. 아울러 해상풍력 개발에 집중하는 한편 해외 대규모 신재생 시장 진출도 병행 중이다.기술 혁신을 통해 대기오염물질 배출량을 2015년 대비 2024년 약 80% 감축하는 획기적인 성과를 거뒀다. 이는 1000억원 규모의 환경설비 성능 개선과 인공지능(AI) 기반 스마트 미세먼지 관리 시스템을 적용한 결과다.또 국내 연구기관과 협력해 재생에너지 직접 연계형 수전해 기술을 국산화하고, 온실효과가 큰 육불화황(SF6) 무해화 독자 기술을 개발하는 등 수소 전 주기 기술 확보를 선도하고 있다. 발전소에서 발생하는 폐수는 친환경 물 순환 시스템을 통해 자원으로 전환된다. 탈황폐수 무방류 설비와 역삼투압 재활용 설비 설치를 통해 지난해  총 153만t의 폐수를 재이용했다. 이러한 성과를 인정받아 탄소정보공개프로젝트(CDP) 수자원 부문에서 'A-등급'을 달성하기도 했다. 또 석탄재와 탈황석고 등 발전 부산물을 재활용해 자원순환 발전소를 구현하고 있다. 석탄재 재활용률 95%를 기록하면서 정부 목표를 초과 달성했다.이정복 서부발전 사장은 ""기술 혁신과 상생 협력을 기반으로 2047년까지 넷제로를 조기에 달성하고 탈탄소 녹색문명 대전환을 실질적으로 이끌어가겠다""고 말했다.[박승주 기자]"
,0.0,,,,,,사흘간 6조 퍼부은 개미들… 코로나 이후 최대 순매수,"개인 투자자들, 연이틀 지수 방어6일 오후 1시 30분, 서울 중구 KB증권 광화문금융센터. 창구 여섯 곳은 모두 상담 중이었고, 대기 의자에는 앉을 자리가 없어 서서 기다리는 고객도 보였다. 객장 곳곳에서는 “SK하이닉스를 사야 하나” “계좌에 남은 돈으로 ETF(상장지수펀드)를 사볼까” 같은 대화가 이어졌다. 평소 하루 30~40명이 찾던 이 지점에는 최근 들어 하루 70명 넘는 고객이 몰린다고 한다. 한 직원은 “VIP실까지 상담으로 꽉 차 복도 의자에서 상담할 정도”라고 말했다.올 들어 10월까지 개인 투자자들은 26조원 넘게 순매도(매도가 매수보다 많은 것)하며 코스피지수가 2400선에서 4000선을 넘어서는 수준까지 오르는 상승장을 바라만 봤다. 그러나 이달 4일부터 6일까지 사흘간 개인은 6조1386억원어치를 순매수하며 ‘코로나 불장’이었던 2021년 8월 이후 최대 규모의 매수세를 보여줬다. 증권가 안팎에서는 2020년 코로나 급락장에서 외국인들이 파는 주식을 개미 군단이 사들여 코스피를 1400선에서 3300선까지 끌어올린 ‘동학개미운동’이 다시 시작됐다는 말이 나온다.‘야수의 심장’ 가진 개미들?지난 4~5일 외국인은 유가증권시장에서 4조3049억원어치를 팔아치운 데 이어 6일도 1조7000억원어치 ‘매도 폭탄’을 던졌다. 하지만 개인들은 사흘간 6조원 넘는 순매수로 이를 모두 받아냈다. 개인 매수세 덕분에 5일 코스피는 가까스로 4000선을 지켰고, 6일에는 0.55% 오른 4026.45에 마감하며 급락세에서 벗어났다. 강진혁 신한투자증권 연구원은 “10월 18거래일 중 14일 상승하면서 저가 매수 욕구가 누적된 상황에 하락장이 나오자 개인 매수세가 폭발했다”고 했다. 일각에서는 급등한 주식을 뒤늦게 사고, 조금 떨어지면 공포에 ‘패닉 셀(공포 속 매도)’하는 개미들의 패턴이 바뀌었다는 말도 나온다. 5일 코스피가 장중 4000선 밑으로 급락했을 때, 개인들이 공포에 빠지지 않고 오히려 ‘사자’ 행태를 보였다는 것이다.개인 매수세의 핵심은 외국인 매도가 집중된 SK하이닉스와 삼성전자였다. 외국인은 4~6일 두 종목을 각각 3조1797억원, 1조4829억원씩 팔았다. 하지만 개인은 같은 기간 2조2416억원, 1조5564억원씩 순매수하며 물량을 그대로 받아냈다. 9월 이후 지난 3일까지 각각 130%, 59% 급등했던 두 종목이 급락하자 매수 기회로 판단한 것이다. 최근 증권가에서 반도체 ‘수퍼 사이클(초호황기)’ 전망이 잇따른 게 올해 내내 관망세를 보이던 개인들이 다시 ‘매수 버튼’을 누른 배경이 됐다. 한 증권사 리서치센터장은 “반도체 호황에 대한 기대감이 의심에서 확신으로 바뀌고 있는 만큼 앞으로 반도체주를 중심으로 개인 매수세가 계속 유입될 가능성이 있다”고 말했다.“고점에 개미들 진입” 우려도코스피가 4200선을 넘은 이후 주가 출렁임이 심해지는 상황에서 개인들이 강한 매수세를 보이자 고점에 들어가는 것이 아니냐는 우려도 나온다. 김민기 자본시장연구원 연구위원은 “역사적으로 외국인이 많이 팔면 개인이 사는 패턴이 반복돼 왔다”면서 “지금 인공지능(AI) 쪽 실적이 좋긴 하지만, 과대평가 우려도 나오고 있는 만큼 무리한 투자는 조심해야 한다”고 말했다.다만 국내외 증권가에선 여전히 강세장 지속을 예상하는 의견이 적지 않다. JP모건은 최근 “자사주 소각 의무화, 배당소득세 인하, 기업 투명성 강화가 이뤄지면 코스피는 5000을 넘어 최대 6000까지 오를 수 있다”고 하기도 했다. 내년 코스피 전망으로 5000을 제시하고 있는 KB증권의 김동원 KB증권 리서치센터장은 이날 “조정 없는 상승은 없으며, 1998~1999년 강세장에서도 단기 급락 뒤 지수는 두 배 가까이 올랐다”면서 “장기 강세장 시나리오에서는 코스피가 7500까지 갈 수 있다”고 했다."
,0.0,,,,,,집 매입후 실거주하려면…전세만기 2개월 전까지 통보해야,"임차인 갱신요구권 거절 기간6개월→2개월 대법 판례 나와임대인과 임차인 사이에 분쟁이 발생했다. 전세 만기가 3개월 남은 시점에 임대인이 주택을 처분했고, 소유권이전등기를 완료한 매수인이 실거주하겠다고 임차인에게 통지한 것이다. 계약갱신요구권을 행사해 2년 더 거주할 계획이었던 임차인은 분노했다.""매수인이 실거주하려면 만기 6개월 전에 소유권이전등기를 마쳤어야 하잖아요. 지금은 3개월밖에 안 남았으니까 저는 계약갱신요구권을 쓸 수 있잖아요. 이사 못 나가요.""임대차 3법 중 하나인 계약갱신요구권이 2020년 7월 시행된 이후 임대차 시장에서 가장 빈번히 발생하는 분쟁 중 하나다. 핵심 쟁점은 '실거주 목적의 매수인이 언제까지 등기를 마쳐야 임차인의 계약갱신요구를 적법하게 거절할 수 있는가'다. 법 시행 초창기 국토교통부는 임대 만기 6개월 전까지 등기를 완료한 매수인만 실거주가 가능하다는 입장이었다.이로 인한 혼란이 가속화될 시점에 종래 해석을 뒤집은 대법원 판례가 나왔다. 2022년 대법원은 ""임차인이 이미 갱신요구를 했더라도 임대인의 지위를 승계한 매수인이 임대차 만료 6개월에서 2개월 사이의 '갱신거절 기간' 내에 실거주를 이유로 갱신을 거절할 수 있다"" 고 판단했다. 즉, 임차인의 갱신요구권 기간에 매수인도 갱신거절권을 행사할 수 있도록 균형을 맞춘 것이다.다만 주의할 점이 있다. 매수인은 임대차 만료 2개월 전까지 소유권이전등기를 완료하고, 동일 기간 내에 실거주 사유로 갱신거절 통지를 해야 한다. '등기는 6개월 전까지'라는 종전의 해석은 더 이상 기준이 아니다. 즉, 실거주 목적의 매수인은 임차인의 갱신요구 기간이 끝나기 전까지 소유권을 이전받으면 된다. 기준이 완화되고 명확해졌지만, 여전히 초기 해석을 기억하고 있는 현장은 혼란스럽다. 임차인이 거주 중인 주택을 실거주 목적 매수인에게 매도할 때는 세 가지 원칙만 기억하면 된다. 첫째, 임대인은 매도 계획이 있다면 임차인의 갱신요구를 섣불리 수락하지 말 것. 둘째, 소유권이전등기는 임대차 만료 2개월 전까지 완료할 것. 셋째, 갱신 거절 의사는 6~2개월 사이에 반드시 통지할 것. 결론적으로 실거주를 이유로 임차인의 계약갱신요구를 거절하려는 매수인은 '2개월 전 등기 완료'와 '6~2개월 내 통지' 두 가지 원칙만 지키면 된다. 요약하면 이렇다. ""제때 등기하고, 제때 통지하라!""[양정아 공인중개사]"
,0.0,,,,,,[사설] 인구재앙 극복·구조개혁 성패는 첨단 인재 양성에 달렸다,"지난 5일부터 이틀간 열린 ‘글로벌인재포럼 2025’에 참석한 세계 석학과 전문가들은 ‘공생지능의 시대’에 인재 양성 방안 등을 놓고 열띤 토론을 벌였다. 한국경제신문사, 교육부, 한국직업능력연구원이 공동 주최해 올해로 20주년을 맞은 이번 포럼에는 예년보다 많은 6000여 명의 청중이 몰렸다. 인공지능(AI)이 인간을 대체할 것이라는 막연한 두려움을 넘어 ‘AI 공존 시대’를 준비하려는 의지를 확인한 자리였다.‘고용 없는 성장, 우리의 일자리는 안녕한가?’ 세션 발표자로 나선 정지훈 아시아투지캐피탈 창업파트너는 “인구가 줄어들고 있는 한국 사회에 AI는 위기를 기회로 바꾸는 전략적 자산”이라고 강조했다. AI가 노동력 부족을 메우고 생산성을 폭발적으로 높일 유일한 방안이라는 것이다.개막일 기조연설을 한 짐 하게만 스나베 지멘스 이사회 의장은 “AI가 ‘지능의 민주화’를 통해 인류의 역사를 바꿀 것”이라며 “이제 한계를 정하는 것은 기술이 아니라 우리의 상상력”이라고 강조했다. AI와 공존하는 시대의 핵심 가치는 새로운 꿈을 꾸는 상상력, 즉 ‘인간다움’이라는 진단이다. AI 시대가 요구하는 인재도 단순히 AI 기술에 숙련된 전문가가 아니다. AI를 사용하는 데만 그치지 않고 그 결과를 해석하고 판단하는 문해력과 전반적인 문제 해결 능력이 중요하다. 최재천 이화여대 에코과학부 석좌교수의 조언처럼 AI를 지혜롭게 활용할 수 있는 창의적 사고력과 인문학적 통찰을 갖춘 인재가 필요하다.정부는 미국 중국 등과 함께 ‘AI 3대 강국’ 도약을 목표로 내년에만 10조원 이상을 AI 인프라 확충과 반도체 개발 등에 투입할 계획이다. 하지만 아무리 많은 예산으로 AI 인프라를 구축해도 이를 이끌어갈 인재가 없으면 이는 모래 위의 성과 다름없다. 인구재앙을 딛고 구조개혁에 성공하기 위해 AI와 공존하는 지혜와 역량을 갖춘 인재 양성에 국가적 역량을 집중해야 한다."
,0.0,,,,,,"두나무, 고객 확인 제대로 안 했다가 352억원(역대 최대) 과태료 맞아","특정금융정보법 위반 혐의 역대 최대 과태료금융 당국이 국내 최대 코인 거래소 업비트를 운영하는 주식회사 두나무가 고객 확인·거래 제한 의무 등을 위반했다며 총 352억원에 달하는 과태료 처분을 내렸다. 352억원은 특정금융정보법 위반으로 금융 당국이 내린 과태료 가운데 역대 최고 규모다.6일 역외 탈세와 자금 세탁 등을 감시하는 금융정보분석원(FIU)은 지난해 8월부터 10월 사이에 두나무에 대해 실시한 자금 세탁 방지 현장 검사 결과 860만여 건의 특정금융정보법 위반 사항을 적발했고, 이에 따라 총 352억원의 과태료 처분을 내리기로 결정했다.FIU에 따르면 두나무는 고객이 온라인으로 제출한 신분증의 초점이 맞지 않아 이름이나 주민번호가 제대로 식별되지 않아도 가입을 허가하거나 신분증의 원본이 아니라 인쇄·복사본 등을 찍어 올렸음에도 이를 인정하는 등 모두 530만건의 고객 확인 의무를 위반한 혐의를 받고 있다.고객 확인 조치가 끝나지 않은 고객은 거래를 할 수 없는데도, 거래를 허용한 경우가 약 330만건이었다고 금융 당국은 설명했다. 또 자금 세탁 가능성이 의심되는 합당한 근거가 있을 때 보고해야 하는 의무를 위반한 경우도 15건 적발됐다. 검찰이 범죄 혐의가 있는 업비트 이용자의 거래 내역에 대해 압수 수색 영장을 청구했고, 두나무가 이를 알았음에도 관련 보고를 하지 않았다는 것이다.FIU는 두나무에 관련 내용을 통지하고 열흘 이상의 의견 제출 기간을 부여하게 된다. 이후 제출된 의견을 고려해 과태료 부과 금액을 확정할 예정이다. 앞서 두나무는 지난 2월 미신고 가상 자산 사업자와의 거래 금지 의무 위반으로 석 달간 영업 일부 정지와 임직원 제재 처분을 받은 바 있다. FIU의 결정에 대해 두나무는 “투자자 보호 조치를 강화했으며, 재발 방지를 위해 더 노력하겠다”고 했다."
,0.0,,,,,,"박지원 한국은행 팀장, 화폐유통 과정에 환경평가 도입","유공자부문 대통령 표창박지원 한국은행 팀장이 화폐 유통 시스템의 환경 영향을 국내 최초로 평가하고 개선 방안을 제시한 공로로 2025 녹색경영대상에서 대통령 표창을 받았다. 박 팀장은 ""많은 사람이 사용하는 가장 기본적인 결제 수단이자 자산인 화폐를 다루는 만큼 무한한 영광과 함께 막중한 의무감을 느낀다""고 소감을 밝혔다.박 팀장은 지폐 유통 시스템 전 과정에 걸친 온실가스 배출량을 추정하고 그 결과를 한국은행 내 지속성장가능위원회에 보고했다. 화폐 유통 시스템의 환경영향평가를 최초로 실시했다는 점에서 높은 평가를 받았다.연간 화폐 제조와 유통 과정 중 발생하는 폐기물은 약 500t에 달하며, 그간 화폐 폐기물은 대부분 소각 처리돼 다량의 이산화탄소가 발생했다.박 팀장은 짧은 기간에 화폐 제조 공정 및 유통 과정에 대한 논의를 시작하고 화폐 폐기물 재활용을 실질적으로 확대하는 등 변화를 이끌어냈다. 한국조폐공사는 2021년부터 중소기업과 협업해 화폐 폐기물 일부를 콘크리트 보강재로 재활용하고 있다.[정지성 기자]"
,0.0,,,,,,KB증권 '코스피 7500' 파격 전망,"""40년만에 강세장 진입한전·현대건설 등 추천""코스피지수가 내년 최고 7500선에 도달할 수 있다는 파격적인 전망이 나왔다. 시장 일각에서 불거진 ‘인공지능(AI) 거품론’도 시기상조라고 봤다.KB증권은 6일 ‘코스피, 대세 상승장 쉼표’ 보고서에서 내년 코스피지수 목표를 5000, 장기 강세장 시나리오에서의 목표를 7500으로 제시했다. 김동원 리서치본부장은 “밸류에이션(실적 대비 주가 수준) 확장과 실적 사이클의 시작으로 1985년 이후 40년 만에 강세장에 진입한 것으로 판단한다”고 했다.내년 유가증권시장 상장 기업의 영업이익은 올해보다 36% 급증한 401조원으로 역대 최대가 될 것이라는 게 KB증권 판단이다. 주도 예상 업종은 반도체와 전력이다. 최선호주로는 삼성전자 SK하이닉스 두산에너빌리티 한국전력 현대건설 현대로템 한국금융지주를 추천했다.김 본부장은 “시장 일각에서 불고 있는 AI 고평가 우려는 기우에 불과하다”고 단언했다. 1999년엔 실제로 닷컴 버블이 발생한 게 사실이지만 당시와 비교할 수 없을 정도로 기업 체력이 좋아졌다는 점에서다. 그는 “1999년 닷컴 기업들의 평균 주가수익비율(PER)은 60배였지만 현재 AI 기업들의 PER은 30배에 불과하다”고 분석했다.AI 산업은 2022년 11월 챗GPT 공개 후 불과 3년밖에 지나지 않았고, AI 확장 사이클 역시 시작에 불과하다고 김 본부장은 설명했다. 그는 “과거 PC·모바일 산업은 태동 후 10~15년간 장기 고성장을 지속했다”고 말했다."
,0.0,,,,,,"스크린골프장서 공 맞아 … 법원 ""업장 책임""","다른 이용객이 친 공에 골절법원 ""관리자 안전조치 소홀""스크린골프 연습장에서 고객이 친 골프공이 스크린에 맞고 튕겨 나와 다른 이용자를 다치게 한 사고와 관련해 법원이 시설 관리 주체의 책임을 인정했다.6일 전주지법 민사4단독(재판장 이용희)은 이용객 A씨가 스크린골프 연습장과 보험사를 상대로 낸 손해배상 청구 소송에서 원고 일부 승소 판결을 내리고 피고 측이 A씨에게 1370만원을 지급하라고 선고했다.A씨는 2022년 9월 30일 전북 전주시 완산구 한 스크린골프 연습장에서 뒤 타석에 서 있던 이용자가 친 공에 맞아 손가락 골절상을 입었다. 공은 스크린을 맞고 되돌아와 앞으로 뻗고 있던 A씨 손을 때린 것으로 조사됐다. A씨는 한 달가량 통원치료를 받았으며, 치료비와 위자료 등 4100만원 상당을 청구했다.재판부는 스크린골프 시설 특성상 타구가 예기치 않은 방향으로 튈 가능성이 있고, 강한 타격이 반복되는 시설인 점을 지적했다. 또 체육시설의 설치·이용에 관한 법률이 정한 타석 간 최소 간격 2.5ｍ 기준에 미달하는 2.45ｍ로 설치돼 있었다며 시설물 관리자의 과실을 인정했다.다만 사고 당시 골프공 속도가 비교적 느렸고, 원고가 주의를 기울였더라면 부상 정도를 줄일 수 있었던 점 등을 고려해 배상액을 감액했다. 재판부는 ""이용객이 부상을 입을 가능성을 완전히 배제할 수 없는 구조였던 만큼, 피고가 안전조치를 소홀히 한 과실이 있다""고 밝혔다.[송민섭 기자]"
,0.0,,,,,,"트럼프 뒤끝제재에 … 北 ""실패한 과거 반복말라""","미북 회동 무산후 제재 강화에비난 수위 조절하며 경고 나서북한이 경주 아시아태평양경제협력체(APEC) 회의 계기 미·북 회동이 결렬된 이후 미국이 단행한 연이은 제재에 반발 메시지를 냈다. 다만 비난 수위를 조절하며 미국과의 대화 여지는 열어뒀다.6일 김은철 북한 외무성 미국담당 부상은 조선중앙통신을 통해 공개한 담화에서 ""현 미국 행정부가 우리를 끝까지 적대시하겠다는 입장을 밝힌 이상 우리 역시 언제까지든지 인내력을 가지고 상응하게 상대해줄 것""이라고 밝혔다.김 부상은 ""미국은 압박과 회유, 위협과 공갈로 충만된 자기의 고유한 거래 방식이 우리 국가를 상대로 언제인가는 결실을 보게 될 것이라는 기대와 미련을 가지지 말아야 한다""며 ""실패한 과거의 낡은 각본을 답습하면서 새로운 결과를 기대하는 것처럼 우매한 짓은 없다""고 했다.미국이 계속해서 대북제재를 결정한다면 미국과 만나지 않는 '전략적 인내'에 들어가겠다는 경고이자 제재는 현상 변화에 효과가 없다는 주장이다. 다만 담화에 '트럼프'가 직접 거론되지 않았고 노골적인 비난 표현도 없어 북한이 반발 수위를 조절했다는 평가가 나온다.앞서 미국 국무부와 재무부는 지난 3일과 4일에 걸쳐 각각 북한의 석탄·철광석 수출 제재, 가상자산 탈취를 통해 조성한 자금에 대한 동결 조치 등을 발표했다.한편 지난 5일 김정은 북한 국무위원장은 평양 신미리 애국열사릉에서 진행된 김영남 전 최고인민회의 상임위원장의 영결식에 참석했다. 김 위원장은 김영남의 유해를 열사릉 입구에서 직접 맞이했다.[김상준 기자]"
,0.0,,,,,,"[카페 2030] 응급처치, 생명을 살리는 오지랖","주어진 시간은 4분. 시간을 넘기면 뇌 손상 위험이 커진다. 눈앞에는 상반신 모양 마네킹이 있었다. 명치에서 손가락 약 두 마디 위, 가슴뼈 하반부를 5㎝ 깊이로 곧게 압박한다. 명치가 아니라는 점이 중요하다. 마네킹 어깨 부근 센서에 노란 불빛이 둘 켜진다. 기준에 맞게 흉부 압박을 하고 있다는 뜻이다.심폐 소생술 얘기다. 국제 응급처치 자격증(EFR)을 지난달에 땄다. 민간 자격증으로 ‘이머전시 퍼스트 리스폰스’의 약자다. 심폐 소생술과 심장 자동 충격기(AED) 사용법, 기도 폐쇄 상황에서 복부를 밀어 올리는 ‘하임리히법’ 등 국제 표준 응급처치를 배운다.대단한 결심을 한 건 아니었다. 직장에서 필요한, 취재에 반드시 필요한 자격증도 아니었다. 단지 취미인 스쿠버다이빙 구조 자격 과정 중 하나의 선행 요건이라 배우기 시작했다. 묘하게도 한동안 개운하지 않았다. 방법을 알면서도 미흡한 처치로 최악 상황을 맞닥뜨렸을 때 밀려올 죄책감에 겁이 났다.나 같은 사람이 적지 않아서 그랬을 것이다. 교육 내내 강사와 교재와 참고용 동영상은 “완벽하지 않아도 좋다. 적절한 조치는 무(無)조치보다 언제나 낫다”는 점을 반복해서 강조했다. 대한심폐소생협회 가이드라인에는 심정지 환자 목격자가 심폐 소생술을 하지 않는 이유로 “모른다” 외에 “잘못할까 봐 두렵다”가 적혀 있다. 처치법을알고도 망설이는 것이다.결정적인 골든타임을 놓치기도 한다. 비의료인 목격자가 있는 심정지 환자 사례 7만여 건을 분석한 결과 약 10%가 심폐 소생술을 시행하기까지 10분 이상 지연됐다는 내용의 논문이 지난해 미국심장협회(AHA) 계열 국제 학술지에 실렸다.남을 위한 기술처럼 보였다. 심장마비나 부정맥, 익수, 질식, 외상성 쇼크, 열사병 등 심정지를 일으키는 수많은 사례를 접했다. 이런 상황에 대비해 처치를 익혀 봐야 당연하게도 내가 쓰러지면 소용이 없었다. 온전히 타인을 위해 흉부 압박을 실시했을 땐 익히 알던 대로 가슴뼈 골절은 피하기 어려웠다. 고의나 중과실이 없으면 책임을 면한다는 ‘선한 사마리아인법’이 위급한 상황에 떠오르기나 할까.그럼에도 배우는 이유는 나처럼 응급처치를 망설이며 익힌 누군가가 내 숨을 붙들어주리라는 믿음일 것이다. 구급대원이 오기 전 괜한 오지랖은 아닌지 고민하는 방관의 관성을 깨기 위해서. 그 망설임의 10분을 1분으로, 1초로 줄이기 위해 알아야 했다. 이후 건물마다 심장 자동 충격기 위치를 살피는 버릇이 생겼다. 핼러윈 데이를 앞둔 시점이었다.며칠 전 경주 APEC 정상회의 기간 순찰하던 군인들이 길에 쓰러진 노인을 심폐 소생술로 구했다는 소식이 전해졌다. 군인의 의무라서가 아니라 본능에 가까운 이타심이었을 것이다. 안전 불감증 기사가 쏟아지는 세상에서 기자이기 전에 할 수 있는 일이 무엇일까 고민한다. 지금도 자신은 없다. 다만 생명을 살리는 오지랖이 있다는 것을 안다. 골든타임은 포 미닛, 4분이다.매일 조선일보에 실린 칼럼 5개가 담긴 뉴스레터를 받아보세요. 세상에 대한 통찰을 얻을 수 있습니다.'5분 칼럼' 구독하기(https://page.stibee.com/subscriptions/91170)"
,0.0,,,,,,"""이젠 호캉스 안가요""…中 영리치들이 푹 빠진 곳은","Cover Story달라진 중국 2030 레저 트렌드글램핑에 꽂힌 中 영리치…주말마다 별멍·불멍베이징의 MZ세대는 주말마다 어디론가 떠난다. 한때 ‘주말=호캉스’가 공식이었다면, 이젠 전통과 자연이 결합된 휴식 공간을 찾는다. 베이징 근교의 고급 글램핑, 반려동물과 함께하는 프라이빗 캠핑존, 도심 속에서 다도·서예·고금 연주 등 자신만의 취향에 몰입할 수 있는 체험 공간이 주인공이다.사람들은 베이징 도심에서 차로 불과 1~2시간이면 닿을 수 있는 곳으로 ‘글램핑’을 즐기러 간다. 단순한 캠핑이 아니라 ‘화려함’(glamorous)이라는 키워드가 더해진 새로운 형태의 여가다. 자연 속에서 캠핑의 묘미를 만끽하면서도 호텔에 버금가는 편의 시설과 서비스를 동시에 누릴 수 있다는 점이 가장 큰 매력.베이징 외곽인 허베이성 청더시에 있는 ‘베이징 산곡 은하 캠핑장’은 총 40개의 텐트 호텔로 돼 있다. 성수기엔 예약이 어려울 만큼 인기다. 친환경 디자인을 강조해 부지의 기존 자원을 최대한 활용한 데다 고급스러움을 더한 게 특징이다. 벌목한 나무를 재활용해 캠핑장 입구 표지판과 숲속 의자 및 가구들을 제작했고, 흙벽돌과 회반죽으로 만든 피자 오븐을 설치해 산속에서도 품격 있는 식사를 즐길 수 있다.또 하나의 키워드는 반려동물 가구다. 중국 주요 도시에서도 반려동물을 키우는 가구가 급격히 증가하고 있는데, 반려견을 ‘더 넓은 자연에서 마음껏 뛰놀게’ 하고 싶어 하는 이들이 빠르게 늘고 있다. 일부 캠핑장은 반려동물 전용 놀이터를 갖추고, 회원제로 운영해 사전 신청자를 대상으로 ‘동물 운동회’ 등의 이벤트를 연다. 강아지·고양이 전용 소형 텐트, 캠핑장에서 뛰어노는 반려견의 모습을 담아주는 스냅 촬영까지 서비스가 세분화돼 있다.복합문화공간 베이징 ‘템플·둥징위안’은 600여 년 역사를 지닌 ‘지주사(智珠寺)’를 개조해 탄생한 곳이다. 기존의 건물 골격 안에 갤러리, 호텔, 레스토랑이 들어서 전통과 현대가 조화를 이룬다.2012년부터는 미국 설치 미술가 제임스 터렐의 작품 ‘개더드 스카이’가 상설 전시되고 있다. 방문객들은 차분한 명상 음악이 흐르는 전시장에서 누워 창을 통해 일몰 과정을 바라본다. 조용히 하늘을 감상하기 위해 지불하는 150위안의 입장료는 베이징 미술관 평균 입장료(60~100위안)를 웃돌지만, 예약조차 어려울 만큼 인기다.사찰 앞마당에서 펼쳐지는 ‘템플 요가’, 회원제로 진행되는 다도 수업과 향수 제조 체험 등 내면에 집중할 수 있는 개인적인 문화 활동은 물론 고급 와인과 위스키를 즐기며 음악을 나누는 파티도 자주 열린다.베이징=배혜은 아르떼 칼럼니스트"
,0.0,,,,,,"고1·학부모 10명 중 7명 ""고교학점제 폐지가 낫다""","종로학원 470명 대상 설문""만족한다"" 응답률 4% 그쳐과목 선택권 충분하지 않고진로·적성 탐색에 도움안돼올해 전면 도입된 고교학점제를 경험한 고등학교 1학년 학생과 학부모 10명 중 7명이 '만족하지 못 한다'는 설문조사 결과가 나왔다. 학생들의 적성·진로에 맞춘 과목 선택권을 확대하기 위해 도입된 고교학점제가 학교 현장에서는 여전히 혼란을 낳고 있어 개선이 시급한 것으로 보인다.종로학원은 6일 고1 학생·학부모 470명을 대상으로 지난달 21~23일 진행한 온라인 설문조사 결과를 발표했다. 고교학점제 만족도에 대한 질문에 '안 좋다' '매우 안 좋다' 등으로 답한 응답자가 75.5%에 달했다. '보통'은 20.2%, '좋다'는 4.3%에 그쳤다.과목 선택권이 충분히 주어졌냐는 질문에는 '아니다'가 67%에 달했고, 진로 적성 탐색에 도움이 되지 않는다는 응답도 76.6%를 차지했다. 학교 적응과 교우 관계에 미치는 영향 역시 '부정적'이라는 답변이 48.9%로 '긍정적 영향을 미친다'(5.3%)보다 압도적으로 많았다.고교학점제 개편 방향에 대한 질문에는 72.3%가 '폐지'를 선택했다. '축소'를 바라는 의견은 13.8%에 불과했다. 응답자의 83%는 학교 내신이 불리해지면 고교학점제로 불이익을 만회할 수 없을 것이라고 봤고, 내신에서 손해를 볼 경우 56.4%가 대입 대비 전략으로 대학수학능력시험(수능)을 택했다.임성호 종로학원 대표는 ""고교 1학년 종료 시점에서 내신 상위권은 대학 입시에 유리한 고교학점제 관련 일반·진로선택 과목에, 학교 내신이 불리한 학생들은 수능에 집중할 것""이라고 분석했다. 국가교육위원회는 고교학점제의 핵심인 학점이수제 및 최소 성취수준 보장지도 제도에 대한 개선안을 오는 12월 발표하고 내년 1학기부터 현장에 적용하겠다는 방침이다.[이용익 기자]"
,0.0,,,,,,"한국타이어, 오프로드 전용 브랜드로 美 공략",한국타이어앤테크놀로지가 미국 라스베이거스에서 열린 ‘세마(SEMA) 쇼 2025’에서 처음으로 오프로드 픽업트럭·스포츠유틸리티차량(SUV) 전용 타이어 브랜드 ‘다이나프로’로 야외 전시 부스를 꾸리며 이 시장 공략에 본격 나섰다. 시장조사업체 마켓리서치인텔리전스에 따르면 지난해 152억달러(약 22조원)이던 오프로드 픽업트럭·SUV 타이어 시장 규모는 2033년 224억달러(약 32조원)로 47.4% 커질 전망이다. 특히 북미 지역은 픽업트럭과 SUV가 많다. 작년 한국타이어의 매출 21%가량이 북미에서 나왔다.5일(현지시간) 세마 쇼 2025의 한국타이어 전시장에서 관람객들이 프리미엄 SUV 타이어 다이나프로 제품을 둘러보고 있다.라스베이거스=김보형 기자 kph21c@hankyung.com
